"","Age","Electorate","Sex","count","right_left"
"1","0–4 Years","Ikaroa-Rāwhiti","Male",4926,-0.834799188141952
"2","5–9 Years","Ikaroa-Rāwhiti","Male",4881,-0.834799188141952
"3","10–14 Years","Ikaroa-Rāwhiti","Male",4740,-0.834799188141952
"4","15–19 Years","Ikaroa-Rāwhiti","Male",4059,-0.834799188141952
"5","20–24 Years","Ikaroa-Rāwhiti","Male",2811,-0.834799188141952
"6","25–29 Years","Ikaroa-Rāwhiti","Male",2154,-0.834799188141952
"7","30–34 Years","Ikaroa-Rāwhiti","Male",2124,-0.834799188141952
"8","35–39 Years","Ikaroa-Rāwhiti","Male",2238,-0.834799188141952
"9","40–44 Years","Ikaroa-Rāwhiti","Male",2370,-0.834799188141952
"10","45–49 Years","Ikaroa-Rāwhiti","Male",2274,-0.834799188141952
"11","50–54 Years","Ikaroa-Rāwhiti","Male",2214,-0.834799188141952
"12","55–59 Years","Ikaroa-Rāwhiti","Male",1824,-0.834799188141952
"13","60–64 Years","Ikaroa-Rāwhiti","Male",1476,-0.834799188141952
"14","65–69 Years","Ikaroa-Rāwhiti","Male",945,-0.834799188141952
"15","70–74 Years","Ikaroa-Rāwhiti","Male",654,-0.834799188141952
"16","75–79 Years","Ikaroa-Rāwhiti","Male",378,-0.834799188141952
"17","80–84 Years","Ikaroa-Rāwhiti","Male",210,-0.834799188141952
"18","85 Years And Over","Ikaroa-Rāwhiti","Male",87,-0.834799188141952
"19","0–4 Years","Ikaroa-Rāwhiti","Female",4887,-0.834799188141952
"20","5–9 Years","Ikaroa-Rāwhiti","Female",4749,-0.834799188141952
"21","10–14 Years","Ikaroa-Rāwhiti","Female",4617,-0.834799188141952
"22","15–19 Years","Ikaroa-Rāwhiti","Female",3972,-0.834799188141952
"23","20–24 Years","Ikaroa-Rāwhiti","Female",3384,-0.834799188141952
"24","25–29 Years","Ikaroa-Rāwhiti","Female",2853,-0.834799188141952
"25","30–34 Years","Ikaroa-Rāwhiti","Female",2691,-0.834799188141952
"26","35–39 Years","Ikaroa-Rāwhiti","Female",2754,-0.834799188141952
"27","40–44 Years","Ikaroa-Rāwhiti","Female",3009,-0.834799188141952
"28","45–49 Years","Ikaroa-Rāwhiti","Female",2739,-0.834799188141952
"29","50–54 Years","Ikaroa-Rāwhiti","Female",2658,-0.834799188141952
"30","55–59 Years","Ikaroa-Rāwhiti","Female",2067,-0.834799188141952
"31","60–64 Years","Ikaroa-Rāwhiti","Female",1635,-0.834799188141952
"32","65–69 Years","Ikaroa-Rāwhiti","Female",1134,-0.834799188141952
"33","70–74 Years","Ikaroa-Rāwhiti","Female",783,-0.834799188141952
"34","75–79 Years","Ikaroa-Rāwhiti","Female",525,-0.834799188141952
"35","80–84 Years","Ikaroa-Rāwhiti","Female",294,-0.834799188141952
"36","85 Years And Over","Ikaroa-Rāwhiti","Female",177,-0.834799188141952
"37","0–4 Years","Waiariki","Male",4743,-0.82791586998088
"38","5–9 Years","Waiariki","Male",4791,-0.82791586998088
"39","10–14 Years","Waiariki","Male",4671,-0.82791586998088
"40","15–19 Years","Waiariki","Male",3894,-0.82791586998088
"41","20–24 Years","Waiariki","Male",2616,-0.82791586998088
"42","25–29 Years","Waiariki","Male",2109,-0.82791586998088
"43","30–34 Years","Waiariki","Male",2034,-0.82791586998088
"44","35–39 Years","Waiariki","Male",2229,-0.82791586998088
"45","40–44 Years","Waiariki","Male",2325,-0.82791586998088
"46","45–49 Years","Waiariki","Male",2211,-0.82791586998088
"47","50–54 Years","Waiariki","Male",2283,-0.82791586998088
"48","55–59 Years","Waiariki","Male",1773,-0.82791586998088
"49","60–64 Years","Waiariki","Male",1470,-0.82791586998088
"50","65–69 Years","Waiariki","Male",996,-0.82791586998088
"51","70–74 Years","Waiariki","Male",759,-0.82791586998088
"52","75–79 Years","Waiariki","Male",456,-0.82791586998088
"53","80–84 Years","Waiariki","Male",204,-0.82791586998088
